field,date,product,volume,unit
SNØHVIT,2009-02-01,Gas,0.52274,bill_sm3
SNØHVIT,2009-03-01,Gas,0.58844,bill_sm3
SNØHVIT,2009-04-01,Gas,0.43333,bill_sm3
SNØHVIT,2009-05-01,Gas,0.45484,bill_sm3
SNØHVIT,2009-06-01,Gas,0.49437,bill_sm3
SNØHVIT,2009-07-01,Gas,0.58786,bill_sm3
SNØHVIT,2009-08-01,Gas,0.26784,bill_sm3
SNØHVIT,2009-11-01,Gas,0.00271,bill_sm3
SNØHVIT,2009-12-01,Gas,0.24884,bill_sm3
SNØHVIT,2010-01-01,Gas,0.60098,bill_sm3
SNØHVIT,2010-02-01,Gas,0.48857,bill_sm3
SNØHVIT,2010-03-01,Gas,0.57567,bill_sm3
SNØHVIT,2010-04-01,Gas,0.53372,bill_sm3
SNØHVIT,2010-05-01,Gas,0.2442,bill_sm3
SNØHVIT,2010-06-01,Gas,0.5949,bill_sm3
SNØHVIT,2010-07-01,Gas,0.57653,bill_sm3
SNØHVIT,2010-08-01,Gas,0.42586,bill_sm3
SNØHVIT,2010-09-01,Gas,0.33692,bill_sm3
SNØHVIT,2010-10-01,Gas,0.62937,bill_sm3
SNØHVIT,2010-11-01,Gas,0.5828,bill_sm3
SNØHVIT,2010-12-01,Gas,0.37691,bill_sm3
SNØHVIT,2011-01-01,Gas,0.35052,bill_sm3
